step,batch_id,duration,prefill_count,decode_count,batch_size,memory_used,busy,tokens_generated
1,1,0.639598,20,0,20,931,True,635
2,2,0.011992,0,20,20,931,True,20
3,3,0.011841,0,20,20,931,True,20
4,4,0.011863,0,20,20,931,True,20
5,5,0.012151,0,20,20,931,True,20
6,6,0.011356,0,19,19,899,True,19
7,7,0.010905,0,18,18,856,True,18
8,8,0.010217,0,17,17,838,True,17
9,9,0.008972,0,15,15,754,True,15
10,10,0.008948,0,15,15,754,True,15
11,11,0.008363,0,14,14,686,True,14
12,12,0.007908,0,13,13,656,True,13
13,13,0.006025,0,10,10,536,True,10
14,14,0.004831,0,8,8,468,True,8
15,15,0.004825,0,8,8,468,True,8
16,16,0.004815,0,8,8,468,True,8
17,17,0.004834,0,8,8,468,True,8
18,18,0.004786,0,8,8,468,True,8
19,19,0.004217,0,7,7,396,True,7
20,20,0.004249,0,7,7,396,True,7
21,21,0.004193,0,7,7,396,True,7
22,22,0.004276,0,7,7,396,True,7
23,23,0.002418,0,4,4,212,True,4
24,24,0.001243,0,2,2,113,True,2
25,25,0.000642,0,1,1,47,True,1
26,26,0.000024,0,0,0,0,False,0
